기존,축약,
음식료 및 담배 소비재,음식료·담배 소비재,
돼지고기,,
기타 육류 및 조제품,기타 육류·조제품,
참치,,
기타 어패류,,
생선묵,,
기타 어패류 조제품,,
김,,
채소류,,
설탕,,
엽연초,,
음료,,
주류,,
기타 음식료 소비재,,
원료 및 연료,,
조광물,,
금속광,,
인삼,,
소와 말 가죽,,
기타 가죽,,
동식물성 기타 원재료,,
경유,,
나프타,,
벙커 C유,,
기타 석유제품,,
기타 원료 및 연료,기타 원료·연료,
경공업품,,
설견,,
면웨이스트,,
화학섬유,,
기타 섬유원료,,
견사류,,
모사,,
생면사,,
표백 기타 가공면사,,
합성섬유사,,
재생섬유사,,
기타 섬유사,,
생면직물,,
표백 기타 가공한 면직물,,
견직물,,
모직물,,
합성섬유직물,,
재생섬유직물,,
화학섬유 편직물,,
기타 직물,,
튤·레이스류,,
끈과 망,,
부물류,,
부직포,,
기타 섬유제품,,
직물제 의류,,
편물제 의류,,
가죽의류,,
기타 의류,,
양말 및 장갑류,양말·장갑류,
기타 의류 부속품,,
합판,,
목제품,,
가구,,
가죽제품,,
고무타이어 및 튜브,고무타이어·튜브,
기타 고무제품,,
신발류,,
금,,
은,,
다이아몬드,,
기타 보석류,,
시멘트,,
유리,,
도자기,,
완구,,
운동용구,,
피아노 및 기타 악기,피아노·기타 악기,
종이류,,
플라스틱 제품,,
여행용구,,
장식용 세공품,,
"양초, 성냥, 라이터류",,
우산과 파라솔,,
가발과 가눈썹,,
안경테와 장착구,,
낚시대,,
전구류,,
칼·훠어크,,
경공업 기타 제품,,
중화학 공업품,,
스티렌,,
테레프탈산,,
기타 유기 및 무기화합물,기타 유기·무기화합물,
의약품,,
화학비료,,
폴리에틸렌,,
폴리프로필렌,,
폴리에스테르,,
기타 인조플라스틱 및 동 제품,기타 인조플라스틱·동 제품,
염료와 색소,,
기타 화학제품,,
철강 괴,,
철강 봉 및 형강,철강 봉·형강,
철강 판,,
합금강 판,,
아연도 강판,,
철강 관,,
철강 주물과 단조물,,
비철금속,,
연선·망,,
못·스크루·볼트·너트류,,
기타 금속제품,,
사무용기기,,
섬유·피혁기계,,
기타 일반기계류,기타 일반기계,
전기동력기계,,
정밀기기,,
시계,,
반도체 제조용 장비,,
반도체 제조용 장비 부품,,
디스플레이패널 제조용 장비,,
TV,,
VTR,,
냉장고,,
세탁기,,
전자레인지,,
에어컨,,
음향기기,,
기타 가전제품,,
컴퓨터,,
컴퓨터 주변기기,,
방송기기,,
유선통신기기,,
무선통신기기,,
메모리 반도체,,
프로세스와 컨트롤러,프로세서·컨트롤러,
증폭기,,
기타 집적회로 반도체 및 부품,반도체·부품,*표에는 풀네임으로 작성
트랜지스터,,
다이오드,,
기타 개별소자 반도체 및 부품,반도체·부품,*표에는 풀네임으로 작성
실리콘 웨이퍼,,
회로보호 접속기,,
전자관류,,
축전기와 전지,축전기·전지,
인쇄회로,,
액정디바이스,,
기타 디스플레이 패널,,
"전기, 전자 기타제품",전기·전자 기타제품,
승용차,,
화물차,,
차량 부품,,
철도차량,,
선박,,
컨테이너,,
자전거,,
수송 기타장비 ,,
기타 중화학 공업품,,